id,name,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
61,Educational services,343,88,0,...,...,97,18,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,58,6,...,1,965,179,1088,...,5784,28,25,...,...,...,3,5,...,...,...,611,208,28,9,...,...,0,...,...,...,45,61,...,365,...,3202,14,199,...,...,1677,205,...,...,2178,1115,128,315,12155,24
621,Ambulatory health care services,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,216,...,39,...,...,9706,11279,41,2,52,2,...,...,35,...,3635,...,11458,...
622,Hospitals,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,486,...,...,...,...,...,...,...,...,...,...,...,...
623,Nursing and residential care facilities,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1765,...,331,...
624,Social assistance,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,40,...,1873,...
711AS,"Performing arts, spectator sports, museums, and related activities",118,5,1,1,10,117,162,59,50,117,148,163,20,13,105,60,30,76,227,31,17,64,62,64,70,110,1172,282,234,18,521,16,394,0,40,4,...,80,66,196,3861,19902,306,809,424,431,56,7,1412,174,648,432,3215,3174,1637,78,980,556,536,160,212,15037,768,419,1746,903,996,50,85,794,61
713,"Amusements, gambling, and recreation industries",82,1,1,2,17,52,106,31,31,51,104,103,17,5,67,41,24,57,122,11,7,34,49,24,46,59,519,10,88,0,682,0,2,...,1,...,...,5,1,104,26,178,293,429,223,265,17,9,335,66,280,358,868,1273,861,58,270,503,32,74,76,92,33,301,374,119,2284,5,8,1171,217
721,Accommodation,5,0,2,15,88,367,788,162,171,296,559,576,92,36,376,213,130,316,652,62,36,183,402,125,258,366,1087,28,103,4,354,1,11,...,3,47,5,168,80,638,175,1110,1825,2643,1394,1578,108,55,2129,563,1328,2326,4620,714,3596,509,1163,2146,206,265,250,137,176,425,1140,669,1929,452,163,2920,148
722,Food services and drinking places,299,1,8,25,810,1343,1221,516,473,1040,1449,1562,208,120,1011,569,312,782,2033,248,150,573,635,564,676,845,5696,764,546,132,2506,1443,13,1,442,33,6,109,42,1040,303,1602,2710,7538,2044,5607,439,64,11455,1663,3744,4310,14414,4922,8586,698,2171,9371,10206,1027,1603,302,387,2703,3874,1874,1542,233,1765,19032,517
81,"Other services, except government",768,273,141,109,481,525,4804,425,576,1892,1413,1028,452,209,1364,701,193,469,2409,338,109,948,435,1316,1634,745,17681,1904,2293,841,7095,91,181,126,1078,460,40,897,1929,888,174,7500,2162,6165,2166,1439,69,108,12874,6701,1142,1813,10786,7572,8297,1455,3489,7743,21709,2108,909,1448,2084,1909,6339,6252,2781,427,2014,19995,2459
GFGD,Federal general government (defense),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
GFGN,Federal general government (nondefense),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
GFE,Federal government enterprises,29,6,...,6,0,134,26,0,...,77,61,727,8,226,0,0,0,41,0,8,...,0,125,87,91,0,9446,718,415,690,3748,...,0,780,6463,97,55,4962,457,591,223,269,1067,3495,8865,405,0,1,101,545,440,212,2949,362,1189,125,758,1006,1681,274,275,219,137,1048,3546,1088,1,146,18,2295,72
GSLG,State and local general government,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
GSLE,State and local government enterprises,...,8,...,...,...,202,...,50,97,216,208,135,69,42,222,133,31,73,722,91,25,145,46,545,1047,114,590,219,254,99,550,...,...,...,32,...,...,5,185,38,31,140,70,70,158,111,...,...,529,683,476,155,1273,382,1046,77,137,573,581,297,1456,70,126,442,787,584,568,257,280,4556,1198
